year,country,state,month,number,date
2002,Brazil,Mato Grosso,Jun,517,1/1/2002
2005,Brazil,Bahia,Aug,948,1/1/2005
2010,Brazil,Amazonas,Apr,11,1/1/2010
2014,Brazil,Maranhao,Apr,78,1/1/2014
2001,Brazil,Sergipe,Mar,1,1/1/2001
2013,Brazil,Paraiba,Mar,18,1/1/2013
2015,Brazil,Mato Grosso,May,541,1/1/2015
2014,Brazil,Pernambuco,Jul,11,1/1/2014
2016,Brazil,Amazonas,Sep,3119,1/1/2016
2004,Brazil,Rondonia,Jun,151,1/1/2004
2013,Brazil,Acre,Mar,2,1/1/2013
2014,Brazil,Pernambuco,Apr,10,1/1/2014
2003,Brazil,Rio,Nov,121,1/1/2003
2000,Brazil,Para,Jan,30,1/1/2000
2007,Brazil,Rondonia,Oct,2023,1/1/2007
2008,Brazil,Bahia,Mar,135,1/1/2008
2010,Brazil,Santa Catarina,Mar,9,1/1/2010
2013,Brazil,Para,Jan,167,1/1/2013
2002,Brazil,Sao Paulo,Jul,448,1/1/2002
2002,Brazil,Rio,Oct,140,1/1/2002
2011,Brazil,Minas Gerais,Nov,,1/1/2011
2009,Brazil,Paraiba,Dez,270,1/1/2009
2011,Brazil,Bahia,Dez,230,1/1/2011
2006,Brazil,Distrito Federal,Mar,0,1/1/2006
2004,Brazil,Roraima,Oct,53,1/1/2004
2005,Brazil,Sao Paulo,Jan,26,1/1/2005
2005,Brazil,Piau,Apr,3,1/1/2005
1998,Brazil,Amazonas,Jan,0,1/1/1998
2004,Brazil,Piau,Jul,564,1/1/2004
2014,Brazil,Sao Paulo,Jul,476,1/1/2014
2005,Brazil,Rondonia,Jun,153,1/1/2005
2012,Brazil,Piau,May,334,1/1/2012
1999,Brazil,Rio,Mar,0,1/1/1999
2007,Brazil,Piau,Aug,3551,1/1/2007
2009,Brazil,Espirito Santo,Aug,17,1/1/2009
2012,Brazil,Ceara,May,19,1/1/2012
2006,Brazil,Para,Aug,7575,1/1/2006
2016,Brazil,Para,Aug,4863,1/1/2016
2005,Brazil,Pernambuco,Feb,33,1/1/2005
2017,Brazil,Rio,Mar,3,1/1/2017
2011,Brazil,Maranhao,Jun,602,1/1/2011
2006,Brazil,Bahia,Aug,995,1/1/2006
2008,Brazil,Para,Jan,131,1/1/2008
2004,Brazil,Rio,Jan,44,1/1/2004
2017,Brazil,Rio,Nov,89,1/1/2017
2008,Brazil,Rio,Aug,19,1/1/2008
2002,Brazil,Maranhao,Aug,3481,1/1/2002
2000,Brazil,Paraiba,Dez,34,1/1/2000
1998,Brazil,Paraiba,Mar,0,1/1/1998
2001,Brazil,Alagoas,Oct,15,1/1/2001
1999,Brazil,Amapa,Dez,41,1/1/1999
2016,Brazil,Mato Grosso,Sep,898,1/1/2016
2017,Brazil,Maranhao,Nov,23,1/1/2017
2012,Brazil,Acre,Jul,71,1/1/2012
2007,Brazil,Rio,Mar,8,1/1/2007
1999,Brazil,Sao Paulo,Mar,78,1/1/1999
2012,Brazil,Ceara,Dez,631,1/1/2012
2010,Brazil,Mato Grosso,Dez,276,1/1/2010
2010,Brazil,Tocantins,Sep,10172,1/1/2010
2004,Brazil,Rondonia,Sep,1305,1/1/2004
2011,Brazil,Mato Grosso,Dez,577,1/1/2011
2005,Brazil,Alagoas,Jan,83,1/1/2005
2007,Brazil,Espirito Santo,Nov,112,1/1/2007
1999,Brazil,Para,Jun,37,1/1/1999
2006,Brazil,Espirito Santo,Nov,0,1/1/2006
2014,Brazil,Alagoas,Jun,2,1/1/2014
2010,Brazil,Tocantins,Jan,79,1/1/2010
2012,Brazil,Rio,Sep,172,1/1/2012
2001,Brazil,Acre,Mar,0,1/1/2001
2000,Brazil,Santa Catarina,Nov,19,1/1/2000
2010,Brazil,Acre,Jun,1,1/1/2010
2007,Brazil,Paraiba,Nov,256,1/1/2007
2007,Brazil,Santa Catarina,Jul,12,1/1/2007
1998,Brazil,Ceara,Jun,1,1/1/1998
2012,Brazil,Roraima,Apr,25,1/1/2012
2003,Brazil,Roraima,Apr,268,1/1/2003
2010,Brazil,Rio,Aug,316,1/1/2010
2000,Brazil,Goias,May,58,1/1/2000
2008,Brazil,Ceara,Apr,0,1/1/2008
2011,Brazil,Distrito Federal,Feb,1,1/1/2011
2015,Brazil,Espirito Santo,Jan,76,1/1/2015
2010,Brazil,Rio,Nov,90,1/1/2010
2016,Brazil,Roraima,Sep,19,1/1/2016
2000,Brazil,Paraiba,Apr,1,1/1/2000
2006,Brazil,Sergipe,Nov,5,1/1/2006
2007,Brazil,Mato Grosso,Apr,46,1/1/2007
2006,Brazil,Piau,Mar,18,1/1/2006
2014,Brazil,Bahia,Jan,132,1/1/2014
2003,Brazil,Rondonia,Aug,706,1/1/2003
2008,Brazil,Piau,Aug,290,1/1/2008
2001,Brazil,Bahia,Jan,24,1/1/2001
2012,Brazil,Santa Catarina,Jul,42,1/1/2012
2008,Brazil,Paraiba,Apr,0,1/1/2008
2009,Brazil,Goias,Feb,29,1/1/2009
2011,Brazil,Tocantins,Dez,105,1/1/2011
2000,Brazil,Paraiba,Aug,849,1/1/2000
2001,Brazil,Distrito Federal,Jan,0,1/1/2001
2013,Brazil,Mato Grosso,Nov,1064,1/1/2013
1998,Brazil,Maranhao,Jul,274,1/1/1998
2000,Brazil,Mato Grosso,Jul,1338,1/1/2000
2011,Brazil,Rio,Jun,12,1/1/2011
2016,Brazil,Espirito Santo,Aug,78,1/1/2016
2004,Brazil,Distrito Federal,Oct,18,1/1/2004
2009,Brazil,Goias,Jan,30,1/1/2009
2003,Brazil,Paraiba,Feb,46,1/1/2003
2000,Brazil,Amazonas,Apr,18,1/1/2000
1999,Brazil,Pernambuco,Jul,2,1/1/1999
2014,Brazil,Santa Catarina,Mar,15,1/1/2014
2001,Brazil,Tocantins,Apr,19,1/1/2001
2000,Brazil,Sergipe,Jun,0,1/1/2000
2009,Brazil,Amapa,Oct,765,1/1/2009
2000,Brazil,Roraima,Oct,25,1/1/2000
2004,Brazil,Minas Gerais,Oct,2736,1/1/2004
2000,Brazil,Distrito Federal,Jul,15,1/1/2000
2004,Brazil,Sao Paulo,Jul,342,1/1/2004
2017,Brazil,Santa Catarina,Jun,70,1/1/2017
1998,Brazil,Mato Grosso,Nov,306,1/1/1998
2000,Brazil,Maranhao,Jun,94,1/1/2000
2008,Brazil,Santa Catarina,Mar,14,1/1/2008
2011,Brazil,Distrito Federal,Jan,2,1/1/2011
2006,Brazil,Bahia,Jan,225,1/1/2006
2008,Brazil,Acre,Sep,1666,1/1/2008
2014,Brazil,Sergipe,Oct,3,1/1/2014
2001,Brazil,Mato Grosso,Oct,6543,1/1/2001
